# freq	REsusc	std_dev_REsusc	IMsusc	std_dev_IMsusc
3.089999999999999858e+01	1.510586389999999835e+00	nan	1.183259999999999867e-01	nan
3.119999999999999929e+01	1.520575110000000008e+00	nan	1.152555999999999997e-01	nan
3.150000000000000000e+01	1.530591909999999833e+00	nan	1.121627999999999931e-01	nan
3.179999999999999716e+01	1.540601510000000118e+00	nan	1.100411999999999918e-01	nan
3.210000000000000142e+01	1.550632440000000001e+00	nan	1.081528000000000073e-01	nan
3.239999999999999858e+01	1.558203240000000100e+00	nan	1.059152000000000149e-01	nan
3.269999999999999574e+01	1.568270109999999828e+00	nan	1.045001999999999875e-01	nan
3.300000000000000000e+01	1.575846789999999942e+00	nan	1.032431999999999933e-01	nan
3.329999999999999716e+01	1.583440749999999841e+00	nan	1.019790000000000002e-01	nan
3.360000000000000142e+01	1.588536959999999665e+00	nan	1.003755999999999954e-01	nan
3.389999999999999858e+01	1.596159359999999916e+00	nan	9.909759999999999402e-02	nan
3.419999999999999574e+01	1.603791309999999637e+00	nan	9.806579999999999464e-02	nan
3.450000000000000000e+01	1.608894109999999600e+00	nan	9.720539999999999736e-02	nan
3.479999999999999716e+01	1.614012159999999696e+00	nan	9.608759999999999524e-02	nan
3.510000000000000142e+01	1.621677239999999909e+00	nan	9.529520000000001045e-02	nan
3.539999999999999858e+01	1.626807000000000114e+00	nan	9.442399999999999405e-02	nan
3.569999999999999574e+01	1.634501439999999972e+00	nan	9.362279999999999214e-02	nan
3.600000000000000000e+01	1.639650559999999979e+00	nan	9.274440000000000461e-02	nan
3.629999999999999716e+01	1.644785789999999581e+00	nan	9.263259999999999550e-02	nan
3.660000000000000142e+01	1.649936189999999803e+00	nan	9.226299999999999779e-02	nan
3.689999999999999858e+01	1.652528640000000104e+00	nan	9.156319999999999737e-02	nan
3.719999999999999574e+01	1.657704960000000227e+00	nan	9.067520000000001135e-02	nan
3.750000000000000000e+01	1.665448989999999796e+00	nan	9.062819999999999210e-02	nan
3.779999999999999716e+01	1.670616989999999857e+00	nan	9.076859999999999096e-02	nan
3.810000000000000142e+01	1.673203989999999974e+00	nan	9.083879999999999733e-02	nan
3.839999999999999858e+01	1.675806989999999663e+00	nan	9.039099999999999913e-02	nan
3.869999999999999574e+01	1.678418839999999967e+00	nan	8.968320000000000458e-02	nan
